,,,,,,,,,,,
Microchip Technology Inc (MCHP US) - Adjusted,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,Last 12M,FY 2021 Est,FY 2022 Est
"Pretax Income (Loss), GAAP",PRETAX_INC,432.4,345.9,281.3,89.8,737.3,204.5,150.4,234.7,"1,793.4","2,117.6"
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,37.1,-19.4,-42.6,-80.8,481.9,-151.4,-420.2,-373.5,,
    + Current Income Tax,IS_CURRENT_INCOME_TAX_BENEFIT,31.8,13.4,17.8,46.1,430.7,-89.2,70.1,,,
    + Deferred Income Tax,IS_DEFERRED_INCOME_TAX_BENEFIT,5.3,-32.8,-60.4,-126.9,51.2,-62.2,-490.3,,,
    + Tax Allowance/Credit,IS_TAX_VALN_ALLOWNCE_CREDITS,—,—,—,—,—,—,—,,,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,395.3,365.3,323.9,170.6,255.4,355.9,570.6,608.2,458.4,762.1
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,
    + XO & Accounting Changes,IS_EXTRAORD_ITEMS_&_ACCTG_CHNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,395.3,365.3,323.9,164.6,255.4,355.9,570.6,608.2,,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0.0,-3.7,-0.2,0.0,0.0,0.0,0.0,0.0,,
"Net Income, GAAP",NET_INCOME,395.3,369.0,324.1,164.6,255.4,355.9,570.6,608.2,458.4,762.1
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
  - Other Adjustments,OTHER_ADJUSTMENTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,395.3,369.0,324.1,164.6,255.4,355.9,570.6,608.2,458.4,762.1
,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,383.0,360.7,308.4,401.6,763.3,433.6,624.1,476.5,"1,695.2","1,993.1"
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,-12.3,-8.3,-15.7,231.0,507.9,77.7,53.5,-131.7,,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,198.3,200.9,203.4,217.2,232.9,236.2,238.9,256.0,,
"Basic EPS, GAAP",IS_EPS,1.99,1.84,1.59,0.76,1.10,1.51,2.39,2.51,1.67,2.72
Basic EPS from Cont Ops,IS_EARN_BEF_XO_ITEMS_PER_SH,1.99,1.84,1.59,0.79,1.10,1.51,2.39,2.51,1.67,2.72
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,1.93,1.80,1.52,1.85,3.28,1.84,2.61,1.94,6.34,7.22
,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,217.6,223.6,217.4,234.8,248.9,249.9,256.2,267.7,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,1.82,1.65,1.49,0.71,1.03,1.42,2.23,2.34,1.67,2.72
Diluted EPS from Cont Ops,IS_DIL_EPS_BEF_XO,1.82,1.65,1.49,0.73,1.03,1.42,2.23,2.34,1.67,2.72
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,1.76,1.61,1.42,1.71,3.07,1.73,2.44,1.82,6.34,7.22
,,,,,,,,,,,
Reference Items,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,,,
EBITDA,EBITDA,653.7,727.1,670.2,"1,072.6","1,573.8","1,668.5","1,996.0","2,014.2","2,252.2","2,520.9"
EBITDA Margin (T12M),EBITDA_MARGIN,33.85,33.86,30.84,31.47,39.53,31.19,37.84,38.49,42.05,42.58
EBITA,EBITA,564.0,629.8,566.3,949.7,"1,450.1","1,487.9","1,827.1","1,850.9",,
EBIT,EBIT,464.5,448.8,387.0,603.4,957.9,792.1,729.6,798.4,"2,093.7","2,392.6"
Gross Margin,GROSS_MARGIN,58.45,57.27,55.47,51.56,60.81,54.80,61.47,61.26,62.34,63.17
Operating Margin,OPER_MARGIN,24.05,20.90,17.81,17.71,24.06,14.81,13.83,15.26,39.09,40.42
Profit Margin,PROF_MARGIN,19.83,16.80,14.19,11.78,19.18,8.11,11.83,9.11,31.65,33.67
Sales per Employee,ACTUAL_SALES_PER_EMPL,"223,520.49","227,223.62","222,537.37","269,263.59","279,668.40","292,546.21","293,011.11",,,
Dividends per Share,EQY_DPS,1.42,1.43,1.43,1.44,1.45,1.46,1.47,1.47,1.47,1.48
Total Cash Common Dividends,IS_TOT_CASH_COM_DVD,281.2,286.5,291.1,315.4,337.5,344.4,350.1,361.6,,
Depreciation Expense,IS_DEPR_EXP,89.7,97.3,103.9,122.9,123.7,180.6,168.9,163.3,,
Rental Expense,BS_CURR_RENTAL_EXPENSE,21.5,23.8,23.3,35.4,30.0,50.9,70.4,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
